"reportNbr","offenseCode","offenseDsc","locationName","latitudeCrd","longitudeCrd","firstReportDtm"
"161027012","PDMVACC","PROPERTY DAMAGE MOTOR VEH ACCIDENT","LEE HW ST & N QUANTICO","38.89150183","-77.15517862","2016-10-27T08:48:00"
"161027010","PDMVACC","PROPERTY DAMAGE MOTOR VEH ACCIDENT","10TH ST & N EDGEWOOD ST N","38.88539581","-77.09088025","2016-10-27T07:20:00"
"161026046","NARCOTIC","MARIJUANA-POSSESSING","48XX LEE","38.89765336","-77.12437509","2016-10-26T23:59:00"
"161026044","PDMVACC","PROPERTY DAMAGE MOTOR VEH ACCIDENT","X AT NB I395 NORTH AT S GLEBE RD","38.84534025","-77.07763468","2016-10-26T20:44:00"
"161026037","VEHTHEFT","MOTOR VEH THEFT-AUTOS","24XX S GLEBE RD","38.84776241","-77.07976733","2016-10-26T18:10:00"
"161026032","FRAUD","FRAUD ILLEGAL USE OF CREDIT CARDS","9XX N TAYLOR ST","38.88226828","-77.1149859","2016-10-26T16:13:00"
"161026028","OTSEXOFF","SEX OFFENSE - OTHER","27XX S FERN ST","38.85013367","-77.05634962","2016-10-26T15:34:00"
"161026029","TREPASS","TRESPASSING","32XX 24 ST S","38.8480606","-77.08282283","2016-10-26T15:33:00"
"161026026","NARCOTIC","MARIJUANA-POSSESSING","69XX I66 WEST","38.88322218","-77.14997823","2016-10-26T14:39:00"
"161026022","PUBLORDR","MISC PUBLIC ORDER CRIMES","2XX BLK S COURTHOUSE RD","38.87230277","-77.08312476","2016-10-26T14:08:00"
"161026021","PUBPEACE","PUBLIC PEACE - OTHER","52XX YORKTOWN","38.90434902","-77.14143777","2016-10-26T13:59:00"
"161026020","VEHTHEFT","MOTOR VEHICLE THEFT BY BAILEE","26XX JEFFERSON","38.85104934","-77.05204237","2016-10-26T12:43:00"
"161026017","PDMVACC","PROPERTY DAMAGE MOTOR VEH ACCIDENT","19XX N VEITCH ST","38.8969347","-77.08747145","2016-10-26T12:02:00"
"161026016","VANDALSM","VANDALISM (PROP DAMAGE)-PRIVATE","23XX 24TH RD S","38.85037896","-77.07660548","2016-10-26T11:55:00"
"161026012","FRAUD","FRAUD - OTHER","27XX S BUCHANAN ST","38.84160316","-77.10255645","2016-10-26T10:17:00"
"161026015","FNDBODY","DEATHS NATURAL CAUSES","21XX COLUMBIA PK","38.8656309","-77.07952679","2016-10-26T09:38:00"
"161026009","SMPLASLT","SIMPLE ASSAULT NON FAMILY","21XX N CULPEPER ST","38.89720846","-77.12797066","2016-10-26T09:15:00"
"161026008","VEHTHEFT","VEHICLE THEFT - OTHER","ARLINGTON BL DR & N PERSHING","38.86730529","-77.11157471","2016-10-26T07:49:00"
"161026006","PDMVACC","PROPERTY DAMAGE MOTOR VEH ACCIDENT","10TH BLVD & ARLINGTON ST N","38.88600289","-77.08685802","2016-10-26T07:34:00"
"161026005","PIMVACC","PERSONAL INJURY MOTOR VEH ACCIDENT","9TH ST & N DANIEL ST N","38.8837497","-77.08901264","2016-10-26T06:51:00"
"161026004","ASSAULT","ASSAULT - OTHER","2XX S GLEBE RD","38.86967304","-77.09639214","2016-10-26T05:58:00"
"161026001","NARCOTIC","MARIJUANA-POSSESSING","16XX BLK S WALTER REED DR","38.85794355","-77.08743043","2016-10-26T00:46:00"
"161025059","NARCOTIC","DANGEROUS DRUGS - OTHER","18XX N OHIO ST","38.88790106","-77.14757003","2016-10-25T23:22:00"
"161025060","DISORDER","DISORDERLY CONDUCT","30XX COLUMBIA PK","38.86362292","-77.08697163","2016-10-25T23:18:00"
"161025058","DRUNK","DRUNKENNESS","3XX ARMY NAVY DR","38.8647255","-77.05178158","2016-10-25T23:07:00"
"161025057","VANDALSM","VANDALISM (PROP DAMAGE) - OTHER","4XX S ADAMS ST","38.87080772","-77.08227902","2016-10-25T22:25:00"
"161025055","DISORDER","DISORDERLY CONDUCT","3XX ARMY NAVY DR","38.86510756","-77.05166766","2016-10-25T22:16:00"
"161025053","PUBPEACE","PUBLIC PEACE - OTHER","14XX N COURTHOUSE RD","38.89084945","-77.08415756","2016-10-25T22:02:00"
